state,bill_number,title,description,url,session,session_year,sponsors,subjects,last_action
AL,HB188,"Scholarship program, to create for dependents of long-term law enforcement officers","Scholarship program, to create for dependents of long-term law enforcement officers",https://legiscan.com/AL/bill/HB188/2025,2025 Regular Session,2025-2025,Allen Treadaway,Education,Read for the first time and referred to the House Committee on Ways and Means Education
AL,HB333,Municipalities to jointly form an authority to open and operate law enforcement training facilities.,Municipalities to jointly form an authority to open and operate law enforcement training facilities.,https://legiscan.com/AL/bill/HB333/2025,2025 Regular Session,2025-2025,David Faulkner,Counties & Municipalities,Read for the first time and referred to the House Committee on County and Municipal Government
AL,HB34,"Law enforcement officers, giving false name or address, date of birth included, refusal to respond if part of a lawful stop, criminal penalties","Law enforcement officers, giving false name or address, date of birth included, refusal to respond if part of a lawful stop, criminal penalties",https://legiscan.com/AL/bill/HB34/2025,2025 Regular Session,2025-2025,Ron Bolton,Crimes & Offenses,Prefiled
AL,HB16,"Crimes and offenses; authorizes law enforcement officer to demand suspect's date of birth in certain circumstances, criminalizes providing false date of birth to law enforcement","Crimes and offenses; authorizes law enforcement officer to demand suspect's date of birth in certain circumstances, criminalizes providing false date of birth to law enforcement",https://legiscan.com/AL/bill/HB16/2025,2025 Regular Session,2025-2025,Ron Bolton,Crimes & Offenses,Prefiled
AL,SB16,"Law enforcement, prohibits use of four-point restraint","Law enforcement, prohibits use of four-point restraint",https://legiscan.com/AL/bill/SB16/2025,2025 Regular Session,2025-2025,Merika Coleman-Evans,Criminal Procedure,Prefiled
AL,HB88,Board of Pardons and Paroles; probation and parole officers specified as state law enforcement officers,Board of Pardons and Paroles; probation and parole officers specified as state law enforcement officers,https://legiscan.com/AL/bill/HB88/2025,2025 Regular Session,2025-2025,Jerry Starnes,Public Safety & Emergencies,Prefiled
AL,HB105,"Law enforcement officers, retirement benefits further provided for","Law enforcement officers, retirement benefits further provided for",https://legiscan.com/AL/bill/HB105/2025,2025 Regular Session,2025-2025,Chad Robertson,State & State Officers,Prefiled
AL,HB356,"Crimes and offenses, penalty increased for crimes of making a terrorist threat in the first or second degree, principal to immediately contact law enforcement of terrorist threat, suspension of student, readmittance, and restitution provided","Crimes and offenses, penalty increased for crimes of making a terrorist threat in the first or second degree, principal to immediately contact law enforcement of terrorist threat, suspension of student, readmittance, and restitution provided",https://legiscan.com/AL/bill/HB356/2025,2025 Regular Session,2025-2025,Matt Woods,Crimes & Offenses,Read for the first time and referred to the House Committee on Judiciary
AL,HB5,Alabama State Law Enforcement Agency; salary adjustments provided to certain law enforcement officers,Alabama State Law Enforcement Agency; salary adjustments provided to certain law enforcement officers,https://legiscan.com/AL/bill/HB5/2025,2025 Regular Session,2025-2025,Phillip Pettus,State Government,Prefiled
AL,SB3,"Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions","Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions",https://legiscan.com/AL/bill/SB3/2025,2025 Regular Session,2025-2025,Will Barfoot,Public Safety & Emergencies; State Government,Prefiled
AL,HB14,"Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions","Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions",https://legiscan.com/AL/bill/HB14/2025,2025 Regular Session,2025-2025,Reed Ingram,Public Safety & Emergencies; State Government,Prefiled
AL,HB254,"St. Clair County; mental health officer, powers and duties further provided","St. Clair County; mental health officer, powers and duties further provided",https://legiscan.com/AL/bill/HB254/2025,2025 Regular Session,2025-2025,Jim Hill,St. Clair County,Read for the first time and referred to the House Committee on Local Legislation
AL,HB15,Courts; Uniform Traffic Ticket and Complaint; disposition by law enforcement officer further provided,Courts; Uniform Traffic Ticket and Complaint; disposition by law enforcement officer further provided,https://legiscan.com/AL/bill/HB15/2025,2025 Regular Session,2025-2025,Ron Bolton,Courts & Judges,Prefiled
AL,HB105,"Law enforcement officers, retirement benefits further provided for","Law enforcement officers, retirement benefits further provided for",https://legiscan.com/AL/bill/HB105/2025,2025 Regular Session,2025-2025,Chad Robertson,State & State Officers,Prefiled
AL,SB4,"School safety, permits sheriffs and chiefs of police to contract with nonpublic schools to provide school resource officers","School safety, permits sheriffs and chiefs of police to contract with nonpublic schools to provide school resource officers",https://legiscan.com/AL/bill/SB4/2025,2025 Regular Session,2025-2025,Chris Elliott,Education,Prefiled
AL,HB361,Ma-Chis Lower Creek Indian Tribe; authorization to hire a police officer,Ma-Chis Lower Creek Indian Tribe; authorization to hire a police officer,https://legiscan.com/AL/bill/HB361/2025,2025 Regular Session,2025-2025,Matthew Hammett,Public Safety & Emergencies,Read for the first time and referred to the House Committee on Public Safety and Homeland Security
AL,HB88,Board of Pardons and Paroles; probation and parole officers specified as state law enforcement officers,Board of Pardons and Paroles; probation and parole officers specified as state law enforcement officers,https://legiscan.com/AL/bill/HB88/2025,2025 Regular Session,2025-2025,Jerry Starnes,Public Safety & Emergencies,Prefiled
AL,SB3,"Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions","Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions",https://legiscan.com/AL/bill/SB3/2025,2025 Regular Session,2025-2025,Will Barfoot,Public Safety & Emergencies; State Government,Prefiled
AL,HB14,"Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions","Law enforcement, authorizes Attorney General or Governor to appoint interim police chief subject to certain conditions",https://legiscan.com/AL/bill/HB14/2025,2025 Regular Session,2025-2025,Reed Ingram,Public Safety & Emergencies; State Government,Prefiled
AL,HB16,"Crimes and offenses; authorizes law enforcement officer to demand suspect's date of birth in certain circumstances, criminalizes providing false date of birth to law enforcement","Crimes and offenses; authorizes law enforcement officer to demand suspect's date of birth in certain circumstances, criminalizes providing false date of birth to law enforcement",https://legiscan.com/AL/bill/HB16/2025,2025 Regular Session,2025-2025,Ron Bolton,Crimes & Offenses,Prefiled
AL,HB34,"Law enforcement officers, giving false name or address, date of birth included, refusal to respond if part of a lawful stop, criminal penalties","Law enforcement officers, giving false name or address, date of birth included, refusal to respond if part of a lawful stop, criminal penalties",https://legiscan.com/AL/bill/HB34/2025,2025 Regular Session,2025-2025,Ron Bolton,Crimes & Offenses,Prefiled
AL,HB15,Courts; Uniform Traffic Ticket and Complaint; disposition by law enforcement officer further provided,Courts; Uniform Traffic Ticket and Complaint; disposition by law enforcement officer further provided,https://legiscan.com/AL/bill/HB15/2025,2025 Regular Session,2025-2025,Ron Bolton,Courts & Judges,Prefiled
AK,SB53,Law Enforcement Agency Accreditation,An Act relating to accreditation standards for law enforcement agencies.,https://legiscan.com/AK/bill/SB53/2025,34th Legislature,2025-2026,Elvi Gray-Jackson,"Claims, Crimes, Grants, Law Enforcement, Municipalities, Public Officers, Public Safety",READ THE FIRST TIME - REFERRALS
AK,SB42,Law Enforcement: Registry; Use Of Force,"An Act relating to the duties of the Alaska Police Standards Council; relating to municipal correctional officers and municipal correctional employees; making municipal police officers subject to police standards; relating to the duties of the Department of Public Safety; relating to reports of incidents of use of force by state and municipal police, probation, parole, pretrial services, and correctional officers and municipal correctional facility employees; and providing for an effective date.",https://legiscan.com/AK/bill/SB42/2025,34th Legislature,2025-2026,Elvi Gray-Jackson,"Boards & Commissions, Corrections, Law Enforcement, Licensing, Municipalities, Public Safety",PREFILE RELEASED 1/17/25
AK,SB3,Authorize Handguns School Employee/volunt,"An Act requiring school districts to grant qualified persons an assigned duty to carry a concealed handgun on school grounds under certain conditions; relating to standards, training, and continuing education in firearms training for qualified persons granted an assigned duty to carry a concealed handgun on school grounds; relating to communication of school districts with state and local law enforcement; and relating to school crisis response plans.",https://legiscan.com/AK/bill/SB3/2025,34th Legislature,2025-2026,Shelley Hughes,"Boards & Commissions, Education, Permits, Public Safety, Safety, School Districts, Schools, Teachers, Weapons",PREFILE RELEASED 1/10/25
AK,SB53,Law Enforcement Agency Accreditation,An Act relating to accreditation standards for law enforcement agencies.,https://legiscan.com/AK/bill/SB53/2025,34th Legislature,2025-2026,Elvi Gray-Jackson,"Claims, Crimes, Grants, Law Enforcement, Municipalities, Public Officers, Public Safety",READ THE FIRST TIME - REFERRALS
AK,SB3,Authorize Handguns School Employee/volunt,"An Act requiring school districts to grant qualified persons an assigned duty to carry a concealed handgun on school grounds under certain conditions; relating to standards, training, and continuing education in firearms training for qualified persons granted an assigned duty to carry a concealed handgun on school grounds; relating to communication of school districts with state and local law enforcement; and relating to school crisis response plans.",https://legiscan.com/AK/bill/SB3/2025,34th Legislature,2025-2026,Shelley Hughes,"Boards & Commissions, Education, Permits, Public Safety, Safety, School Districts, Schools, Teachers, Weapons",PREFILE RELEASED 1/10/25
AK,SB42,Law Enforcement: Registry; Use Of Force,"An Act relating to the duties of the Alaska Police Standards Council; relating to municipal correctional officers and municipal correctional employees; making municipal police officers subject to police standards; relating to the duties of the Department of Public Safety; relating to reports of incidents of use of force by state and municipal police, probation, parole, pretrial services, and correctional officers and municipal correctional facility employees; and providing for an effective date.",https://legiscan.com/AK/bill/SB42/2025,34th Legislature,2025-2026,Elvi Gray-Jackson,"Boards & Commissions, Corrections, Law Enforcement, Licensing, Municipalities, Public Safety",PREFILE RELEASED 1/17/25
AK,SB25,Judicial Retention Election Information,An Act relating to information on judicial officers seeking retention in office.,https://legiscan.com/AK/bill/SB25/2025,34th Legislature,2025-2026,Robert Myers,"Appointments, Courts, Elections, Judges",PREFILE RELEASED 1/10/25
AK,SB42,Law Enforcement: Registry; Use Of Force,"An Act relating to the duties of the Alaska Police Standards Council; relating to municipal correctional officers and municipal correctional employees; making municipal police officers subject to police standards; relating to the duties of the Department of Public Safety; relating to reports of incidents of use of force by state and municipal police, probation, parole, pretrial services, and correctional officers and municipal correctional facility employees; and providing for an effective date.",https://legiscan.com/AK/bill/SB42/2025,34th Legislature,2025-2026,Elvi Gray-Jackson,"Boards & Commissions, Corrections, Law Enforcement, Licensing, Municipalities, Public Safety",PREFILE RELEASED 1/17/25
AK,SB53,Law Enforcement Agency Accreditation,An Act relating to accreditation standards for law enforcement agencies.,https://legiscan.com/AK/bill/SB53/2025,34th Legislature,2025-2026,Elvi Gray-Jackson,"Claims, Crimes, Grants, Law Enforcement, Municipalities, Public Officers, Public Safety",READ THE FIRST TIME - REFERRALS
AK,HB108,Peace Officer Retirement Benefits,An Act relating to participation of certain peace officers in the defined benefit and defined contribution plans of the Public Employees' Retirement System of Alaska; and providing for an effective date.,https://legiscan.com/AK/bill/HB108/2025,34th Legislature,2025-2026,George Rauscher,"Boards & Commissions, Fish & Game (both), Insurance, Labor, Law Enforcement, Occupations & Professions, Public Employees, Retirement",READ THE FIRST TIME - REFERRALS
AK,SB3,Authorize Handguns School Employee/volunt,"An Act requiring school districts to grant qualified persons an assigned duty to carry a concealed handgun on school grounds under certain conditions; relating to standards, training, and continuing education in firearms training for qualified persons granted an assigned duty to carry a concealed handgun on school grounds; relating to communication of school districts with state and local law enforcement; and relating to school crisis response plans.",https://legiscan.com/AK/bill/SB3/2025,34th Legislature,2025-2026,Shelley Hughes,"Boards & Commissions, Education, Permits, Public Safety, Safety, School Districts, Schools, Teachers, Weapons",PREFILE RELEASED 1/10/25
AZ,SB1147,Appropriations; law enforcement; records management,Appropriations; law enforcement; records management,https://legiscan.com/AZ/bill/SB1147/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,Kevin Payne,"Adoa (see Also: Department Of Administration), Appropriating Monies, Appropriations, Department Of Administration (adoa), Exemption, Law Enforcement, Law Enforcement Data Sharing Software, Records Management",Introduced in Senate and read first time
AZ,HB2455,Appropriations; law enforcement; records management.,Appropriations; law enforcement; records management.,https://legiscan.com/AZ/bill/HB2455/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,David Marshall,,Introduced in House and read first time
AZ,SB1104,Police reports; victims; prosecuting agency,Police reports; victims; prosecuting agency,https://legiscan.com/AZ/bill/SB1104/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,Shawnna Bolick,"Child Safety - Title 8, Crime Victims, Criminal Code - Title 13, Definitions, Free Copies, Information Provided To Victim, Law Enforcement Agencies, Police Reports, Prosecuting Agency, Public Records, Printing And Notices - Title 39, Transcripts, Victims, Victims' Rights, Video Recordings",Introduced in Senate and read first time
AZ,SB1361,Peace officer violence victims' rights,Peace officer violence victims' rights,https://legiscan.com/AZ/bill/SB1361/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"Analise Ortiz, Lela Alston, Lauren Kuby, Anna Abeytia, Mariana Sandoval","Criminal Code - Title 13, Definitions, Independent Nonprofit, Legal And Advocacy Organization, Notice, Peace Officer Violence Victims' Bill Of Rights, Peace Officer Violence Victims' Rights, Victim Advocate, Victims' Rights",Introduced in Senate and read first time
AZ,SB1055,Municipalities; retired police officers; volunteers,Municipalities; retired police officers; volunteers,https://legiscan.com/AZ/bill/SB1055/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"Wendy Rogers, Janae Shamp, John Gillette, Nickolas Kupper","Construction Sites, Municipalities, Retired Police Officers, Transportation - Title 28, Volunteer Retired Police Officers, Volunteers, Warning Devices",Prefile
AZ,HB2402,Appropriation; Snowflake-Taylor police department,Appropriation; Snowflake-Taylor police department,https://legiscan.com/AZ/bill/HB2402/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"Walter Blackman, David Marshall",,Introduced in House and read first time
AZ,SB1288,Police vehicles; inspection; requirements,Police vehicles; inspection; requirements,https://legiscan.com/AZ/bill/SB1288/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,David Gowan,"Authorized Emergency Vehicles, Inspection, Inspection Of Vehicles, Patrol Capacity, Police Vehicles, Requirements, Transportation - Title 28",Introduced in Senate and read first time
AZ,HCR2045,Law enforcement; first responders; honoring,Law enforcement; first responders; honoring,https://legiscan.com/AZ/bill/HCR2045/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"Gail Griffin, Lupe Diaz, Chris Lopez",,Introduced in House and read first time
AZ,HB2221,Law enforcement; defunding; prohibition,Law enforcement; defunding; prohibition,https://legiscan.com/AZ/bill/HB2221/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"David Marshall, Walter Blackman, Lupe Diaz, Laurin Hendrix, Alexander Kolodin, Nickolas Kupper, Michael Way",,Introduced in House and read first time
AZ,SB1299,Law enforcement personnel; grant program,Law enforcement personnel; grant program,https://legiscan.com/AZ/bill/SB1299/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,John Kavanagh,"Appropriating Monies, Appropriation, Definitions, Department Of Public Safety (dps), Dps (see Also: Department Of Public Safety), Exemption, Grant Program, Law Enforcement Personnel, Law Enforcement Personnel Grant Program, Reimbursement, Replacement Officers, State Government - Title 41",Introduced in Senate and read first time
AZ,HB2454,Appropriations; community colleges; police training,Appropriations; community colleges; police training,https://legiscan.com/AZ/bill/HB2454/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,David Marshall,,Introduced in House and read first time
AZ,SB1279,Criminal justice commission; sheriffs,Criminal justice commission; sheriffs,https://legiscan.com/AZ/bill/SB1279/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,Mark Finchem,"Military, Military Support Special Plates, Special License Plates, Special Plates, Technical Correction, Transportation - Title 28",Introduced in Senate and read first time
AZ,SB1564,Peace officers; racial profiling; reporting,Peace officers; racial profiling; reporting,https://legiscan.com/AZ/bill/SB1564/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,Theresa Hatathlie,"Arizona Peace Officer Standards And Training Board (azpost), Azpost (see Also: Arizona Peace Officer Standards And Training Board), Definitions, Immunity, Mandatory Reporting, Peace Officers, Prevention Policy, Prohibited, Racial Profiling, Records, Reporting, State Government - Title 41",Introduced in Senate and read first time
AZ,HB2870,Law enforcement agencies; applicants; summary,Law enforcement agencies; applicants; summary,https://legiscan.com/AZ/bill/HB2870/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"Michael Way, Neal Carter, Pamela Carter, Lisa Fink, Ralph Heap, Nickolas Kupper, Chris Lopez, David Marshall, Steve Montenegro, Quang Nguyen",,Introduced in House and read first time
AZ,SB1461,Law enforcement officers; probation; termination,Law enforcement officers; probation; termination,https://legiscan.com/AZ/bill/SB1461/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,Kevin Payne,"Employee Representative, Exception, Internal Investigations, Law Enforcement Officers, Probation, Public Officers And Employees - Title 38, Termination",Introduced in Senate and read first time
AZ,SB1299,Law enforcement personnel; grant program,Law enforcement personnel; grant program,https://legiscan.com/AZ/bill/SB1299/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,John Kavanagh,"Appropriating Monies, Appropriation, Definitions, Department Of Public Safety (dps), Dps (see Also: Department Of Public Safety), Exemption, Grant Program, Law Enforcement Personnel, Law Enforcement Personnel Grant Program, Reimbursement, Replacement Officers, State Government - Title 41",Introduced in Senate and read first time
AZ,SB1695,Election officers; privacy protections,Election officers; privacy protections,https://legiscan.com/AZ/bill/SB1695/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,Priya Sundareshan,"Classification, Confidentiality, Counties - Title 11, Criminal Code - Title 13, Definition, Definitions, Election Officer, Election Officers, Elections And Electors - Title 16, Exception, Information Identifying Eligible Persons, Maintained By County Assessor And County Treasurer, Maintained By County Recorder, Maintained By Department Of Transportation, Personal Information On The Internet, Privacy Protections, Public Records, Printing And Notices - Title 39, Records, Redaction, Release Of Personal Information, Releasing Information, Transportation - Title 28, Violation, Violations, Voter Registration",Introduced in Senate and read first time
AZ,HB2532,Election officers; privacy protections.,Election officers; privacy protections.,https://legiscan.com/AZ/bill/HB2532/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"Lorena Austin, Anna Abeytia, Cesar Aguilar, Junelle Cavero, Lupe Contreras, Patricia Contreras, Quanta Crews, Brian Garcia, Nancy Gutierrez, Sarah Liguori, Elda Luna-Najera, Christopher Mathis, Mariana Sandoval, Stephanie Simacek, Stephanie Stahl Hamilton, Myron Tsosie, Betty Villegas",,Introduced in House and read first time
AZ,SB1104,Police reports; victims; prosecuting agency,Police reports; victims; prosecuting agency,https://legiscan.com/AZ/bill/SB1104/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,Shawnna Bolick,"Child Safety - Title 8, Crime Victims, Criminal Code - Title 13, Definitions, Free Copies, Information Provided To Victim, Law Enforcement Agencies, Police Reports, Prosecuting Agency, Public Records, Printing And Notices - Title 39, Transcripts, Victims, Victims' Rights, Video Recordings",Introduced in Senate and read first time
AZ,HCR2045,Law enforcement; first responders; honoring,Law enforcement; first responders; honoring,https://legiscan.com/AZ/bill/HCR2045/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"Gail Griffin, Lupe Diaz, Chris Lopez",,Introduced in House and read first time
AZ,SB1369,Appropriation; law enforcement; recruitment,Appropriation; law enforcement; recruitment,https://legiscan.com/AZ/bill/SB1369/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,Kevin Payne,"Appropriating Monies, Appropriation, Department Of Public Safety (dps), Dps (see Also: Department Of Public Safety), Law Enforcement, Law Enforcement Officer, Law Enforcement Recruitment And Retention Grant Program, Recruitment, Retention",Introduced in Senate and read first time
AZ,HB2221,Law enforcement; defunding; prohibition,Law enforcement; defunding; prohibition,https://legiscan.com/AZ/bill/HB2221/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"David Marshall, Walter Blackman, Lupe Diaz, Laurin Hendrix, Alexander Kolodin, Nickolas Kupper, Michael Way",,Introduced in House and read first time
AZ,SB1279,Criminal justice commission; sheriffs,Criminal justice commission; sheriffs,https://legiscan.com/AZ/bill/SB1279/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,Mark Finchem,"Military, Military Support Special Plates, Special License Plates, Special Plates, Technical Correction, Transportation - Title 28",Introduced in Senate and read first time
AZ,HB2171,Law enforcement; families; tuition scholarships,Law enforcement; families; tuition scholarships,https://legiscan.com/AZ/bill/HB2171/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"Matt Gress, Michael Carbone, Pamela Carter, David Livingston, Teresa Martinez, Quang Nguyen, James Taylor",,Introduced in House and read first time
AZ,SB1360,Immigration; law enforcement; repeal.,Immigration; law enforcement; repeal.,https://legiscan.com/AZ/bill/SB1360/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"Analise Ortiz, Lela Alston, Flavio Bravo, Eva Diaz, Lauren Kuby","Arizona Crime Information Center Database, Arrest By Officer Without Warrant, Assessment, Classification, Counties - Title 11, Criminal Code - Title 13, Definitions, E-verify Program, Economic Development Incentives, False And Frivolous Complaints, Gang And Immigration Intelligence Team Enforcement Mission (giitem), Giitem (see Also: Gang And Immigration Intelligence Team Enforcement Mission), Immigration, Immobilization, Impoundment, Intentionally Employing, Knowingly Employing, Labor - Title 23, Law Enforcement, Law Enforcement Officer Equipment, License Revocation, License Suspension, List Of Registered Employers, Prohibition, Removal, Repeal, Repealing, Smuggling, State Government - Title 41, Transportation - Title 28, Unauthorized Aliens, Vehicle, Verification Of Employment Eligibility, Violation",Introduced in Senate and read first time
AZ,HB2505,Immigration; law enforcement; repeal,Immigration; law enforcement; repeal,https://legiscan.com/AZ/bill/HB2505/2025,Fifty-seventh Legislature - First Regular Session (2025),2025-2025,"Mariana Sandoval, Anna Abeytia, Cesar Aguilar, Lorena Austin, Seth Blattman, Junelle Cavero, Lupe Contreras, Patricia Contreras, Brian Garcia, Sarah Liguori, Christopher Mathis, Mae Peshlakai, Stephanie Simacek, Stephanie Stahl Hamilton, Myron Tsosie, Betty Villegas, Lauren Kuby, Catherine Miranda, Analise Ortiz",,
